,logFC,AveExpr,t,P.Value,adj.P.Val,B
CKS1B,1.35179840704506,9.06990011673294,24.1146993846424,9.53527880459753e-51,1.28869293044136e-46,105.02937890914
IL1RN,-1.68420571356309,8.04433887662016,-21.775459659168,5.51899843739633e-46,3.68571486857305e-42,94.1762265567257
SASH1,-1.63590033768994,9.15032511133484,-21.6940642050459,8.18138705565606e-46,3.68571486857305e-42,93.786195411906
UBL3,-1.58176285786197,8.51234328180059,-21.5145761163406,1.95479079943715e-45,6.60474941359826e-42,92.923134867973
ENDOU,-2.93836464141038,7.34769354740913,-21.4105005758825,3.24520158645413e-45,8.77177988818552e-42,92.4208056157365
RAB11A,-1.04221656405412,9.50332279409406,-21.2028230309669,8.95950172620159e-45,2.01812776382691e-41,91.4142855532151
GDPD3,-1.78100354074,7.50658163101652,-20.9502962949766,3.10270164641394e-44,5.99043039304062e-41,90.1829425651918
EPS8L1,-1.59080573287987,7.81003179555689,-20.9055341012862,3.87013402396356e-44,6.53810766673345e-41,89.9638226257423
HPGD,-2.66027896222752,7.08584740677977,-20.5640321700167,2.10686762433434e-43,3.16381288254206e-40,88.283608066429
C1orf116,-1.80678100629084,8.08148567935703,-20.5078585169728,2.78804251289177e-43,3.76803945617323e-40,88.0057898119909
KIF14,1.45842067058842,6.00418706232993,20.4305211888158,4.10281102864736e-43,5.04086282292446e-40,87.6226362804604
FSCN1,1.46365649667392,7.00722542156055,20.410875875394,4.52641104534105e-43,5.09787043981535e-40,87.5251842811258
ABLIM1,-1.31324032123824,8.93897834614917,-20.2496531742984,1.01567214087986e-42,1.05590838338394e-39,86.7235456626132
EMP1,-1.88534020503954,8.90160874224135,-20.0145506572704,3.32014050723374e-42,3.20512135394742e-39,85.5485442219441
MMP1,4.64359175275613,7.06856571309993,19.9506993971955,4.5855037724783e-42,4.13153889900295e-39,85.2281945230798
BLNK,-1.99198918588462,8.07558850307371,-19.872033285466,6.83065209853529e-42,5.76976644448152e-39,84.8327932405702
PPL,-1.95632162268343,10.8597387143618,-19.8522756412641,7.5506587009477e-42,6.00277366725342e-39,84.7333594383394
C2orf54,-1.78061091471123,7.26950216852623,-19.7225292025748,1.45991215087705e-41,1.09420577757734e-38,84.0791361736399
MFAP2,1.75820768150121,7.43876769920311,19.7122568902197,1.53828411202142e-41,1.09420577757734e-38,84.0272470840832
AGFG2,-0.406119095326189,5.8091512377137,-19.6311758826757,2.32537142242996e-41,1.57136973870705e-38,83.6172005021404
PLXNA1,0.688653327693978,7.48151320184546,19.5876280918242,2.904191569522e-41,1.7643866249532e-38,83.3966186921989
KAT2B,-1.74318714847209,7.40185259911453,-19.5816832122289,2.99372171571138e-41,1.7643866249532e-38,83.3664872389393
PPP1R3C,-2.63472181956345,8.08567260679327,-19.5810998176931,3.00265574353856e-41,1.7643866249532e-38,83.3635300748411
PLAU,1.69031990274567,7.23615914106853,19.570465219793,3.17029022386584e-41,1.78526968231445e-38,83.3096167539796
TGFBI,1.82704370280204,9.37162098567748,19.5402123984421,3.70041673782839e-41,2.00044528847003e-38,83.1561668696686
KPNA2,0.972721070998405,9.63882792869913,19.4261462633102,6.63579399753009e-41,3.44933676448535e-38,82.5765343530742
SERPINH1,1.45630631521255,8.1643497816391,19.4053237924846,7.38365987701266e-41,3.69593197177133e-38,82.4705431015638
NUCB2,-1.6338812911077,8.41279399761584,-19.2995849261721,1.27102889221145e-40,6.13498409937065e-38,81.9314463105134
ARHGAP10,-0.743789105707705,7.47040046140488,-19.2463877530715,1.67132221709937e-40,7.78893784968897e-38,81.6596831722864
CRISP3,-4.67958402520718,7.62010977044905,-19.2054385262718,2.06392694815709e-40,9.29799090144771e-38,81.4502421150181
CBX3,0.89001501889334,8.64313847928919,19.1794956199381,2.35936748395223e-40,1.02860811437466e-37,81.3174416780073
SCNN1B,-1.79484027371534,7.0983339875123,-19.1216791219618,3.17989631866351e-40,1.34300933583554e-37,81.0211709487085
ECM1,-2.42896587109481,10.4619487379755,-19.1069649589212,3.4310692545413e-40,1.40517881742805e-37,80.9457022379881
SLURP1,-3.08549445551994,9.16092193914305,-19.0824983027704,3.89363705056525e-40,1.54772072759969e-37,80.8201516342341
MCM2,1.46391653602667,8.01297178023052,19.0476824242464,4.66198853852579e-40,1.8001935742336e-37,80.641361622884
HMGB3,1.27268938012625,7.75603243112226,19.004161860113,5.84030719034065e-40,2.19254865770705e-37,80.4176518507184
RFC4,1.54456333896766,7.76952092909335,18.9615909311963,7.28223845974164e-40,2.65998521036239e-37,80.1985886643793
UBE2C,1.36525825015013,8.52852167006505,18.809531043017,1.60460063373585e-39,5.70688883287893e-37,79.4142186465886
