,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0048511,BP,GO:0048511,rhythmic process,10/42,305/18866,9.80351712284646e-10,1.47346862356382e-06,9.5145713550152e-07,ADAMTS1/BHLHE40/CLDN4/EGR1/EGR2/EGR3/JUN/JUND/PER2/SIK1,10
GO:0007623,BP,GO:0007623,circadian rhythm,8/42,218/18866,2.35354941385092e-08,1.76869238450896e-05,1.1420908208266e-05,BHLHE40/CLDN4/EGR1/EGR3/JUN/JUND/PER2/SIK1,8
GO:0035914,BP,GO:0035914,skeletal muscle cell differentiation,5/42,69/18866,4.32522391771353e-07,0.000140432236670982,9.06807593309141e-05,ATF3/BTG2/EGR1/EGR2/FOS,5
GO:0009314,BP,GO:0009314,response to radiation,9/42,447/18866,4.8371484315174e-07,0.000140432236670982,9.06807593309141e-05,BHLHE40/DUSP1/EGR1/FOS/JUND/PER2/PLK3/RHOB/SIK1,9
GO:0043434,BP,GO:0043434,response to peptide hormone,9/42,447/18866,4.8371484315174e-07,0.000140432236670982,9.06807593309141e-05,BTG2/EGR1/EGR2/JUND/NR4A1/NR4A2/NR4A3/PTPN2/SOCS3,9
GO:0006979,BP,GO:0006979,response to oxidative stress,9/42,458/18866,5.9268870230666e-07,0.000140432236670982,9.06807593309141e-05,DUSP1/FOS/JUN/KLF2/MCL1/NR4A2/NR4A3/PLK3/RHOB,9
GO:0000302,BP,GO:0000302,response to reactive oxygen species,7/42,235/18866,7.92025590785174e-07,0.000140432236670982,9.06807593309141e-05,DUSP1/FOS/JUN/KLF2/NR4A3/PLK3/RHOB,7
GO:0045444,BP,GO:0045444,fat cell differentiation,7/42,235/18866,7.92025590785174e-07,0.000140432236670982,9.06807593309141e-05,EGR2/NR4A1/NR4A2/NR4A3/PER2/ZFP36/ZFP36L2,7
GO:0051592,BP,GO:0051592,response to calcium ion,6/42,147/18866,8.40911596832229e-07,0.000140432236670982,9.06807593309141e-05,DUSP1/FOS/FOSB/JUN/JUNB/JUND,6
GO:0071277,BP,GO:0071277,cellular response to calcium ion,5/42,83/18866,1.09210985263025e-06,0.000164144110850327,0.000105992135171062,FOS/FOSB/JUN/JUNB/JUND,5
GO:0060537,BP,GO:0060537,muscle tissue development,8/42,409/18866,2.81998699968079e-06,0.000385312769138202,0.000248806508488582,ATF3/BTG2/EGR1/EGR2/FOS/LMNA/SIK1/TIPARP,8
GO:0030099,BP,GO:0030099,myeloid cell differentiation,8/42,431/18866,4.15263782860499e-06,0.000520117888032775,0.000335853691050333,FOS/JUN/JUNB/KLF2/NR4A3/PTPN2/TRIB1/ZFP36,8
GO:0034599,BP,GO:0034599,cellular response to oxidative stress,7/42,310/18866,4.97878193171572e-06,0.000575623787951441,0.000371695298869789,FOS/JUN/KLF2/MCL1/NR4A2/NR4A3/RHOB,7
GO:1901214,BP,GO:1901214,regulation of neuron death,7/42,321/18866,6.25658485299962e-06,0.000671689073861316,0.000433727160486139,BTG2/EGR1/FOS/JUN/MCL1/NR4A2/NR4A3,7
GO:1900153,BP,GO:1900153,positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,3/42,18/18866,8.17914231408719e-06,0.000819550059871536,0.000529204857093922,BTG2/ZFP36/ZFP36L2,3
GO:0048545,BP,GO:0048545,response to steroid hormone,7/42,346/18866,1.02013103307592e-05,0.000906537239643558,0.000585374748714053,CLDN4/DUSP1/FOS/FOSB/NR4A3/ZFP36/ZFP36L2,7
GO:1900151,BP,GO:1900151,regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,3/42,20/18866,1.13913662987084e-05,0.000906537239643558,0.000585374748714053,BTG2/ZFP36/ZFP36L2,3
GO:1903706,BP,GO:1903706,regulation of hemopoiesis,8/42,498/18866,1.19385230812645e-05,0.000906537239643558,0.000585374748714053,EGR3/FOS/JUN/NR4A3/PTPN2/TRIB1/ZFP36/ZFP36L2,8
GO:0062197,BP,GO:0062197,cellular response to chemical stress,7/42,360/18866,1.3192594884108e-05,0.000906537239643558,0.000585374748714053,FOS/JUN/KLF2/MCL1/NR4A2/NR4A3/RHOB,7
GO:0070997,BP,GO:0070997,neuron death,7/42,360/18866,1.3192594884108e-05,0.000906537239643558,0.000585374748714053,BTG2/EGR1/FOS/JUN/MCL1/NR4A2/NR4A3,7
GO:0036499,BP,GO:0036499,PERK-mediated unfolded protein response,3/42,21/18866,1.3269340833106e-05,0.000906537239643558,0.000585374748714053,ATF3/PPP1R15A/PTPN2,3
GO:0140467,BP,GO:0140467,integrated stress response signaling,3/42,21/18866,1.3269340833106e-05,0.000906537239643558,0.000585374748714053,ATF3/PPP1R15A/PTPN2,3
GO:0042542,BP,GO:0042542,response to hydrogen peroxide,5/42,146/18866,1.75036276473622e-05,0.00113290773045354,0.000731548081015625,DUSP1/JUN/KLF2/NR4A3/RHOB,5
GO:0051384,BP,GO:0051384,response to glucocorticoid,5/42,147/18866,1.80903430012541e-05,0.00113290773045354,0.000731548081015625,DUSP1/FOS/FOSB/ZFP36/ZFP36L2,5
GO:0014706,BP,GO:0014706,striated muscle tissue development,7/42,389/18866,2.17348003624943e-05,0.00126830511635513,0.000818977705837046,ATF3/BTG2/EGR1/EGR2/FOS/LMNA/SIK1,7
GO:0071774,BP,GO:0071774,response to fibroblast growth factor,5/42,153/18866,2.1940075199756e-05,0.00126830511635513,0.000818977705837046,EGR3/IER2/NR4A1/ZFP36/ZFP36L2,5
GO:0045637,BP,GO:0045637,regulation of myeloid cell differentiation,6/42,263/18866,2.38697638332289e-05,0.00132875018671641,0.000858008664882537,FOS/JUN/NR4A3/PTPN2/TRIB1/ZFP36,6
GO:0007519,BP,GO:0007519,skeletal muscle tissue development,5/42,158/18866,2.56112780258318e-05,0.00137477681688661,0.000887729260895372,ATF3/BTG2/EGR1/EGR2/FOS,5
GO:0007517,BP,GO:0007517,muscle organ development,7/42,407/18866,2.90346695032582e-05,0.00150479683666886,0.00097168658010904,ATF3/BTG2/EGR1/EGR2/EGR3/FOS/HBEGF,7
GO:0031960,BP,GO:0031960,response to corticosteroid,5/42,164/18866,3.06287014997517e-05,0.00153449794513756,0.000990865360798985,DUSP1/FOS/FOSB/ZFP36/ZFP36L2,5
GO:0060538,BP,GO:0060538,skeletal muscle organ development,5/42,168/18866,3.4376142523909e-05,0.00165687468207529,0.00106988721285388,ATF3/BTG2/EGR1/EGR2/FOS,5
GO:0043153,BP,GO:0043153,entrainment of circadian clock by photoperiod,3/42,29/18866,3.60065658676894e-05,0.00165687468207529,0.00106988721285388,BHLHE40/PER2/SIK1,3
GO:0034614,BP,GO:0034614,cellular response to reactive oxygen species,5/42,170/18866,3.63784860335892e-05,0.00165687468207529,0.00106988721285388,FOS/JUN/KLF2/NR4A3/RHOB,5
GO:0048660,BP,GO:0048660,regulation of smooth muscle cell proliferation,5/42,173/18866,3.95504051988353e-05,0.00174437065139701,0.00112638564316143,ADAMTS1/HBEGF/JUN/NR4A3/TRIB1,5
GO:1902105,BP,GO:1902105,regulation of leukocyte differentiation,6/42,290/18866,4.12653283535806e-05,0.00174437065139701,0.00112638564316143,EGR3/FOS/JUN/PTPN2/TRIB1/ZFP36L2,6
GO:0048659,BP,GO:0048659,smooth muscle cell proliferation,5/42,175/18866,4.17813329675931e-05,0.00174437065139701,0.00112638564316143,ADAMTS1/HBEGF/JUN/NR4A3/TRIB1,5
GO:0051348,BP,GO:0051348,negative regulation of transferase activity,6/42,296/18866,4.62518999687804e-05,0.00187882717981289,0.00121320773175578,DUSP1/GADD45B/PTPN2/SOCS3/TRIB1/ZFP36,6
GO:0006094,BP,GO:0006094,gluconeogenesis,4/42,91/18866,4.92764995263643e-05,0.00194488071860117,0.00125586022519892,ATF3/PER2/PTPN2/SIK1,4
GO:0001933,BP,GO:0001933,negative regulation of protein phosphorylation,7/42,444/18866,5.04659667501302e-05,0.00194488071860117,0.00125586022519892,ATF3/DUSP1/GADD45B/JUN/PTPN2/SOCS3/TRIB1,7
GO:0009648,BP,GO:0009648,photoperiodism,3/42,33/18866,5.34313635173713e-05,0.00200768348416523,0.00129641360955306,BHLHE40/PER2/SIK1,3
GO:0019319,BP,GO:0019319,hexose biosynthetic process,4/42,94/18866,5.59533751060038e-05,0.00205116884839814,0.0013244932438443,ATF3/PER2/PTPN2/SIK1,4
GO:0009649,BP,GO:0009649,entrainment of circadian clock,3/42,34/18866,5.85114377779156e-05,0.00209387359476684,0.00135206881281299,BHLHE40/PER2/SIK1,3
GO:1901216,BP,GO:1901216,positive regulation of neuron death,4/42,97/18866,6.32679636054972e-05,0.00221143603021075,0.00142798194478013,EGR1/FOS/JUN/MCL1,4
GO:0071248,BP,GO:0071248,cellular response to metal ion,5/42,193/18866,6.65502187190859e-05,0.00227329497124514,0.0014679258770095,FOS/FOSB/JUN/JUNB/JUND,5
GO:0009416,BP,GO:0009416,response to light stimulus,6/42,319/18866,7.00364766076077e-05,0.00228941232467475,0.00147833327264777,BHLHE40/DUSP1/FOS/JUND/PER2/SIK1,6
GO:0046364,BP,GO:0046364,monosaccharide biosynthetic process,4/42,100/18866,7.12567096002322e-05,0.00228941232467475,0.00147833327264777,ATF3/PER2/PTPN2/SIK1,4
GO:0007565,BP,GO:0007565,female pregnancy,5/42,196/18866,7.15917360344067e-05,0.00228941232467475,0.00147833327264777,CLDN4/FOS/FOSB/JUNB/TPPP3,5
GO:1901654,BP,GO:1901654,response to ketone,5/42,200/18866,7.87666272864002e-05,0.00245255032182087,0.00158367573394883,CLDN4/DUSP1/FOS/FOSB/KLF2,5
GO:0048661,BP,GO:0048661,positive regulation of smooth muscle cell proliferation,4/42,103/18866,7.99567303853776e-05,0.00245255032182087,0.00158367573394883,ADAMTS1/HBEGF/JUN/NR4A3,4
GO:0042326,BP,GO:0042326,negative regulation of phosphorylation,7/42,484/18866,8.679039187834e-05,0.0026089191798629,0.0016846471855122,ATF3/DUSP1/GADD45B/JUN/PTPN2/SOCS3/TRIB1,7
