"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0050900","BP","GO:0050900","leukocyte migration",395,0.399507552233275,1.56140464598581,1.41654685760374e-05,0.000640011365849999,0.00054127541756376,1297,"tags=21%, list=11%, signal=19%","4312/3576/2919/1278/6364/4072/1277/5054/3627/6278/3655/8772/7070/7941/6372/10563/6373/6566/4283/26585/3685/2207/6520/483/23657/4067/8140/54210/6362/3675/7412/728/3678/8795/2335/4192/79902/6464/4627/5747/9048/100/6351/4478/9547/3537/7422/3553/5228/6868/29108/6729/28823/54209/7057/682/6374/1230/51192/5025/23428/56833/140885/5880/2921/9056/4973/4323/7852/3055/5290/2817/6355/3383/3514/9057/351/5777/7040/719/3507/3689/6375"
"GO:0034341","BP","GO:0034341","response to interferon-gamma",158,0.496943674007117,1.75193749717694,3.34331535325039e-05,0.0012862985134734,0.00108785843836895,1858,"tags=30%, list=16%, signal=26%","6364/9076/684/2633/7097/1594/8519/3459/6362/6772/7412/10379/10410/3326/2210/6351/8638/3106/3664/8942/10581/3134/4940/29927/3665/3105/10062/3107/9111/140885/3659/3055/3661/6355/3383/4939/6375/4360/51466/55614/960/8651/2317/5469/3135/567/1906/23580"
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication",46,0.661327366185854,1.95024482675096,4.21389599981425e-05,0.00154543613002896,0.00130701833003947,1207,"tags=43%, list=10%, signal=39%","9636/9582/684/91543/3434/3428/8519/8091/8815/10410/22880/8638/4599/5610/10581/4940/3609/10155/6355/4939"
"GO:0043588","BP","GO:0043588","skin development",248,-0.430345495508267,-1.64457998738764,5.96558388562691e-05,0.00203936589393264,0.00172474847276758,950,"tags=22%, list=8%, signal=20%","3881/5266/79152/3848/427/23254/3882/5017/3880/9333/826/7357/27121/10628/3883/7251/1718/1830/10626/7538/1475/22943/1969/247/11187/1824/5652/10855/79413/3866/23086/7021/6698/3713/5275/301/1828/360/2125/6701/2069/192666/43849/6707/26085/3851/7051/5493/239/3860/8796/2312/11005/7053"
"GO:0042737","BP","GO:0042737","drug catabolic process",23,-0.779030540370725,-2.02339321986285,0.000100471894032854,0.00301216333102465,0.00254747032907028,698,"tags=26%, list=6%, signal=25%","1559/1571/1573/1577/1562/1580"
"GO:0035455","BP","GO:0035455","response to interferon-alpha",20,0.786817437292952,1.92547353225237,0.000163722884997711,0.00443342794321759,0.00374947335195664,758,"tags=45%, list=6%, signal=42%","27074/684/3437/103/8519/10410/4600/5610/10581"
"GO:0071356","BP","GO:0071356","cellular response to tumor necrosis factor",233,0.422384851125734,1.56521984791185,0.000234583416815381,0.00592735021418128,0.00501292497824102,2807,"tags=36%, list=24%, signal=28%","3576/6364/1277/10631/9076/9447/7128/5698/2633/5708/1116/6362/51330/6772/3856/5709/8877/5692/6351/23198/5696/5691/329/2167/5693/6868/29108/10213/5688/7057/4792/5684/672/3037/1535/5717/5700/8904/5699/6355/5685/3383/5682/5704/7187/6375/1660/9530/2648/5690/10616/7292/207/1906/330/9618/5716/5689/5695/2150/5694/958/5719/5771/10594/8718/5683/51588/8517/7133/1147/445/10293/9491/1050/81858/8741/5710/81792/4982/10197/970/7132/10010/965"
"GO:0071711","BP","GO:0071711","basement membrane organization",25,0.714219170328204,1.87552196732559,0.00027101912551656,0.00650015712151622,0.005497363715574,444,"tags=32%, list=4%, signal=31%","3914/1282/7837/4320/3912/22795/8985/55612"
"GO:0061213","BP","GO:0061213","positive regulation of mesonephros development",18,0.754876795616595,1.80618939718646,0.000315433878828455,0.00737802772306185,0.0062398033061389,778,"tags=33%, list=7%, signal=31%","3217/26585/10409/6495/9500/7422"
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma",144,0.467492922419073,1.6303261950631,0.000333274222084432,0.00762995984196329,0.00645286930798247,2117,"tags=31%, list=18%, signal=25%","6364/9076/2633/7097/3459/6362/6772/7412/10379/3326/2210/6351/8638/3106/3664/3134/4940/3665/3105/10062/3107/9111/140885/3659/3055/3661/6355/3383/4939/6375/4360/51466/55614/960/8651/2317/5469/3135/567/1906/23580/55647/7791/6672"
"GO:1903901","BP","GO:1903901","negative regulation of viral life cycle",66,0.562761732030525,1.76461444731575,0.000366258835035311,0.00825995671251276,0.00698567518826186,1207,"tags=32%, list=10%, signal=29%","9636/9582/684/91543/3434/3428/8519/8091/8815/10410/22880/8638/4599/5610/10581/4940/3609/10155/5987/6355/4939"
"GO:0045088","BP","GO:0045088","regulation of innate immune response",249,0.40834690597969,1.51744200023115,0.000400885302586198,0.0088043269216242,0.0074460642187828,2354,"tags=33%, list=20%, signal=27%","4321/3149/8772/9447/7128/5698/348/2207/4067/3428/103/3459/5708/7804/6772/5591/11221/5709/3326/5692/4841/23198/5696/5691/5062/11274/3106/329/3134/5693/5971/29108/10213/5688/54209/3665/3105/10062/4332/3148/56833/9111/5684/1690/3659/5717/5700/5058/3055/5699/3661/5685/5682/5777/56339/5704/6059/661/1660/5359/8651/5690/5469/409/3135/4893/330/5716/10432/5689/5695/6421/6885/29110/5694/3455/5719/5336/5771/10859/5683/8517/29883"
"GO:0003171","BP","GO:0003171","atrioventricular valve development",23,0.727471611899981,1.88184975208164,0.00042064798441028,0.00907998720634191,0.00767919779058767,890,"tags=26%, list=8%, signal=24%","23462/6659/1942/90/7291/650"
"GO:0002009","BP","GO:0002009","morphogenesis of an epithelium",448,0.368071526646993,1.452776114178,0.000449354233025221,0.00959169101017989,0.00811195993337169,1990,"tags=26%, list=17%, signal=23%","4321/23213/6591/1289/10468/3627/1282/8323/3217/3868/6659/3371/3237/6491/5698/26585/3714/5754/8985/3909/5708/90/8626/5361/6772/3678/10512/2304/4192/768/7291/2297/5709/10630/2535/6495/5692/1173/25932/8914/9500/51339/23198/5696/5691/7472/4478/6788/5693/7422/4233/2719/5228/6868/10213/5688/650/3911/5684/1857/163/5717/5700/4609/4323/7852/10155/5058/5699/5685/5682/4522/7040/5704/5216/8324/23245/1522/2697/3091/9355/2648/6259/1956/5154/23129/960/64783/5690/389/182/1951/10672/1948/1512/2119/5469/11331/23767/9585/409/1856/8321/2736/90410/1906/5420/655/6046/5716/64750/81839/133/5689/7976/5695/3976"
"GO:0048525","BP","GO:0048525","negative regulation of viral process",83,0.533520571959206,1.72354997964937,0.000454453567533629,0.00967154000765231,0.00817949045197667,1469,"tags=30%, list=12%, signal=27%","9636/9582/684/91543/3434/3428/8519/6772/8091/8815/10410/22880/6351/8638/4599/5610/10581/4940/3609/10155/5987/6355/4939/3065/5359"
"GO:0042738","BP","GO:0042738","exogenous drug catabolic process",21,-0.755858662337635,-1.95325488006696,0.000501100042183719,0.0104005791722472,0.00879605915574081,698,"tags=24%, list=6%, signal=22%","1559/1571/1573/1562/1580"
"GO:0045737","BP","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity",25,0.699303102484361,1.83635274018991,0.000505527491633792,0.0104351371565391,0.00882528580447833,1898,"tags=40%, list=16%, signal=34%","1163/1164/990/891/4331/6868/84722/1956/207/5716"
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic",114,0.482248585671928,1.64886461141818,0.000590263667431832,0.0117663377505211,0.00995111918153374,2432,"tags=38%, list=21%, signal=30%","29028/1786/1789/2146/8318/5437/8520/3428/9015/1111/55038/22880/6996/7913/79101/5440/672/5928/5987/55791/9188/22823/8467/56339/9533/9643/9355/2648/84759/64783/10514/9112/23347/3192/8726/7022/25842/3066/7703/6602/6908/3720/10664"
"GO:0042759","BP","GO:0042759","long-chain fatty acid biosynthetic process",29,-0.692023597375171,-1.89176338285463,0.000717718516936042,0.0135559084886295,0.0114646089415836,698,"tags=28%, list=6%, signal=26%","1559/247/1571/5354/2053/79071/239/3248"
"GO:0019731","BP","GO:0019731","antibacterial humoral response",33,-0.673433698321579,-1.90198896243565,0.000814917566575249,0.0148712613900387,0.0125770394841387,1813,"tags=39%, list=15%, signal=33%","1672/5319/1670/1755/5266/283/5225/1511/4057/7018/5650/6590/11005"
"GO:0002676","BP","GO:0002676","regulation of chronic inflammatory response",10,0.850924111866562,1.76229642424776,0.00082090404123987,0.0149444097146198,0.0126389030572632,741,"tags=30%, list=6%, signal=28%","7128/136/3620"
"GO:0072698","BP","GO:0072698","protein localization to microtubule cytoskeleton",46,0.603283057448004,1.77907300077436,0.000824312144761578,0.0149703804174849,0.0126608672031953,2088,"tags=35%, list=18%, signal=29%","29887/7272/6491/6790/10615/55722/23636/636/22919/49856/55125/3192/9585/2932/51134/22994"
"GO:0090399","BP","GO:0090399","replicative senescence",13,0.800094035243074,1.78517065262742,0.00086506764565783,0.0155239573941684,0.0131290426531892,961,"tags=46%, list=8%, signal=42%","5054/1111/545/4311/1029/11200"
"GO:0007100","BP","GO:0007100","mitotic centrosome separation",14,0.791591041711088,1.77842067931821,0.00102857225657441,0.0181139006956169,0.0153194297568559,1159,"tags=57%, list=10%, signal=52%","6790/4751/3832/1111/54820/23636/9371/5902"
"GO:0051299","BP","GO:0051299","centrosome separation",14,0.791591041711088,1.77842067931821,0.00102857225657441,0.0181139006956169,0.0153194297568559,1159,"tags=57%, list=10%, signal=52%","6790/4751/3832/1111/54820/23636/9371/5902"
"GO:0060351","BP","GO:0060351","cartilage development involved in endochondral bone morphogenesis",25,0.682250364644147,1.79157267021829,0.00106330482360394,0.0184249264732289,0.0155824729098888,1636,"tags=28%, list=14%, signal=24%","4322/1277/871/6781/6474/5447/10498"
"GO:0031334","BP","GO:0031334","positive regulation of protein-containing complex assembly",201,0.424324689114422,1.55061393968646,0.00116406803903468,0.0198522212977585,0.016789575851112,1897,"tags=26%, list=16%, signal=22%","4312/4314/5217/6624/637/7037/10095/10563/142/6119/3320/2017/545/50807/81620/23379/4478/7422/4233/9793/6117/29108/84722/5908/638/7013/64581/5058/3055/5987/3383/22919/7040/5704/581/2071/5216/2764/19/9530/9557/1981/9873/51466/389/9780/2968/10602/2932/578/23580/57180"
"GO:0050000","BP","GO:0050000","chromosome localization",61,0.559361954701262,1.74129850629289,0.00121167274922818,0.0205250843507151,0.0173586348544137,1464,"tags=38%, list=12%, signal=33%","9928/9787/891/11004/9212/10403/1062/10615/81930/1063/81620/55143/8379/54820/23212/84722/23636/54908/7013/3833/55166/79003/3835"
"GO:0051303","BP","GO:0051303","establishment of chromosome localization",61,0.559361954701262,1.74129850629289,0.00121167274922818,0.0205250843507151,0.0173586348544137,1464,"tags=38%, list=12%, signal=33%","9928/9787/891/11004/9212/10403/1062/10615/81930/1063/81620/55143/8379/54820/23212/84722/23636/54908/7013/3833/55166/79003/3835"
"GO:0045089","BP","GO:0045089","positive regulation of innate immune response",170,0.434565322751394,1.55156841776951,0.00122404774576231,0.0206421444625764,0.0174576358476908,2219,"tags=32%, list=19%, signal=26%","4321/3149/8772/9447/5698/2207/4067/3428/5708/5591/5709/5692/4841/23198/5696/5691/5062/3134/5693/5971/29108/10213/5688/3665/4332/3148/5684/1690/5717/5700/5058/3055/5699/3661/5685/5682/5704/661/1660/5359/5690/5469/3135/4893/5716/10432/5689/5695/6421/6885/29110/5694/5719/5336"
