,SUBTYPE-hclust,batch,Kmean_groups
GSM2696912,1,GSE100942,2
GSM2696914,2,GSE100942,2
GSM2696916,2,GSE100942,2
GSM2696918,3,GSE100942,2
GSM4909609,2,GSE161533,2
GSM4909610,2,GSE161533,3
GSM4909611,2,GSE161533,2
GSM4909612,1,GSE161533,1
GSM4909613,2,GSE161533,2
GSM4909614,2,GSE161533,2
GSM4909615,2,GSE161533,2
GSM4909616,2,GSE161533,3
GSM4909617,2,GSE161533,2
GSM4909618,2,GSE161533,2
GSM4909619,2,GSE161533,3
GSM4909620,2,GSE161533,2
GSM4909621,2,GSE161533,2
GSM4909622,2,GSE161533,2
GSM4909623,1,GSE161533,1
GSM4909624,1,GSE161533,1
GSM4909625,1,GSE161533,1
GSM4909626,2,GSE161533,2
GSM4909627,1,GSE161533,1
GSM4909628,2,GSE161533,3
GSM4909629,1,GSE161533,1
GSM4909630,1,GSE161533,1
GSM4909631,1,GSE161533,1
GSM4909632,2,GSE161533,2
GSM4909633,1,GSE161533,1
GSM4909634,2,GSE161533,2
GSM4909635,2,GSE161533,2
GSM4909636,2,GSE161533,2
GSM433787,3,GSE17351,3
GSM433789,1,GSE17351,1
GSM433791,3,GSE17351,3
GSM433793,3,GSE17351,2
GSM433795,2,GSE17351,2
GSM509804,3,GSE20347,3
GSM509805,1,GSE20347,2
GSM509806,2,GSE20347,2
GSM509807,2,GSE20347,3
GSM509808,2,GSE20347,2
GSM509809,2,GSE20347,1
GSM509810,3,GSE20347,3
GSM509811,3,GSE20347,3
GSM509812,3,GSE20347,3
GSM509813,2,GSE20347,2
GSM509814,3,GSE20347,3
GSM509815,1,GSE20347,2
GSM509816,2,GSE20347,2
GSM509817,2,GSE20347,3
GSM509818,1,GSE20347,1
GSM509819,1,GSE20347,1
GSM509820,3,GSE20347,3
GSM573899,2,GSE23400,2
GSM573900,1,GSE23400,1
GSM573901,2,GSE23400,2
GSM573902,2,GSE23400,2
GSM573903,3,GSE23400,2
GSM573906,2,GSE23400,2
GSM573907,1,GSE23400,1
GSM573908,3,GSE23400,3
GSM573909,2,GSE23400,2
GSM573910,1,GSE23400,1
GSM573911,2,GSE23400,2
GSM573912,2,GSE23400,1
GSM573913,3,GSE23400,3
GSM573914,3,GSE23400,2
GSM573915,1,GSE23400,1
GSM573916,2,GSE23400,1
GSM573917,2,GSE23400,2
GSM573918,1,GSE23400,1
GSM573919,2,GSE23400,2
GSM573920,1,GSE23400,1
GSM573921,2,GSE23400,2
GSM573922,2,GSE23400,2
GSM573923,3,GSE23400,3
GSM573924,3,GSE23400,3
GSM573925,2,GSE23400,2
GSM573926,1,GSE23400,1
GSM573927,3,GSE23400,3
GSM573928,3,GSE23400,3
GSM573929,2,GSE23400,2
GSM573930,1,GSE23400,1
GSM573931,3,GSE23400,3
GSM573932,2,GSE23400,2
GSM573933,2,GSE23400,2
GSM573934,3,GSE23400,3
GSM573935,1,GSE23400,1
GSM573936,3,GSE23400,3
GSM573937,3,GSE23400,2
GSM573938,1,GSE23400,1
GSM573939,3,GSE23400,3
GSM573940,2,GSE23400,2
GSM573941,2,GSE23400,2
GSM573943,3,GSE23400,3
GSM573944,1,GSE23400,1
GSM573945,1,GSE23400,2
GSM573946,1,GSE23400,1
GSM573947,3,GSE23400,3
GSM573948,3,GSE23400,2
GSM573949,3,GSE23400,3
GSM573950,3,GSE23400,2
GSM573951,1,GSE23400,2
GSM935145,1,GSE38129,1
GSM935147,1,GSE38129,2
GSM935149,2,GSE38129,2
GSM935151,3,GSE38129,3
GSM935153,3,GSE38129,3
GSM935155,2,GSE38129,2
GSM935157,1,GSE38129,1
GSM935159,3,GSE38129,3
GSM935161,3,GSE38129,3
GSM935163,3,GSE38129,2
GSM935165,3,GSE38129,3
GSM935167,2,GSE38129,3
GSM935169,3,GSE38129,2
GSM935171,1,GSE38129,1
GSM935173,2,GSE38129,2
GSM935175,3,GSE38129,3
GSM935177,2,GSE38129,2
GSM935179,3,GSE38129,3
GSM935181,2,GSE38129,3
GSM935183,2,GSE38129,2
GSM935185,3,GSE38129,3
GSM935187,2,GSE38129,2
GSM935189,3,GSE38129,3
GSM935191,2,GSE38129,2
GSM935193,3,GSE38129,3
GSM935195,2,GSE38129,2
GSM935197,2,GSE38129,2
GSM935199,2,GSE38129,2
GSM935201,2,GSE38129,2
GSM935203,2,GSE38129,3
GSM2061762,2,GSE77861,1
GSM2061764,2,GSE77861,2
GSM2061766,2,GSE77861,2
GSM2061768,1,GSE77861,1
GSM2061770,2,GSE77861,2
GSM2061772,2,GSE77861,2
GSM2061774,2,GSE77861,2
