"","GSM2696912","GSM4909612","GSM4909623","GSM4909624","GSM4909625","GSM4909627","GSM4909629","GSM4909630","GSM4909631","GSM4909633","GSM433789","GSM509805","GSM509815","GSM509818","GSM509819","GSM573900","GSM573907","GSM573910","GSM573915","GSM573918","GSM573920","GSM573926","GSM573930","GSM573935","GSM573938","GSM573944","GSM573945","GSM573946","GSM573951","GSM935145","GSM935147","GSM935157","GSM935171","GSM2061768","GSM2061762","GSM2061764","GSM2061766","GSM2061770","GSM2061772","GSM2061774","GSM2696914","GSM2696916","GSM433795","GSM4909609","GSM4909610","GSM4909611","GSM4909613","GSM4909614","GSM4909615","GSM4909616","GSM4909617","GSM4909618","GSM4909619","GSM4909620","GSM4909621","GSM4909622","GSM4909626","GSM4909628","GSM4909632","GSM4909634","GSM4909635","GSM4909636","GSM509806","GSM509807","GSM509808","GSM509809","GSM509813","GSM509816","GSM509817","GSM573899","GSM573901","GSM573902","GSM573906","GSM573909","GSM573911","GSM573912","GSM573916","GSM573917","GSM573919","GSM573921","GSM573922","GSM573925","GSM573929","GSM573932","GSM573933","GSM573940","GSM573941","GSM935149","GSM935155","GSM935167","GSM935173","GSM935177","GSM935181","GSM935183","GSM935187","GSM935191","GSM935195","GSM935197","GSM935199","GSM935201","GSM935203","GSM2696918","GSM433787","GSM433791","GSM433793","GSM509804","GSM509810","GSM509811","GSM509812","GSM509814","GSM509820","GSM573903","GSM573908","GSM573913","GSM573914","GSM573923","GSM573924","GSM573927","GSM573928","GSM573931","GSM573934","GSM573936","GSM573937","GSM573939","GSM573943","GSM573947","GSM573948","GSM573949","GSM573950","GSM935151","GSM935153","GSM935159","GSM935161","GSM935163","GSM935165","GSM935169","GSM935175","GSM935179","GSM935185","GSM935189","GSM935193"
"Activated B cell",-0.264124898054363,-0.312548949657616,-0.162043220702744,-0.219774809829867,-0.235342388353264,-0.101424970686782,-0.196645175124715,-0.244208631887323,-0.178985358545252,-0.214812523397315,-0.262726149725224,-0.222896981286835,-0.236188221470596,-0.148472973016976,-0.262727359586634,-0.115504538066635,-0.147332210783428,-0.299116374580349,-0.224811151335369,-0.22204254476701,-0.263091136729263,-0.214127321845527,-0.163758111506267,-0.268523866324009,-0.198614198256838,-0.222466534305475,-0.189528067255428,-0.343983399267198,-0.284483157067921,-0.249597249328117,-0.148446972037016,-0.237066864692096,-0.260512031077097,-0.236525772495043,-0.194011928747279,-0.198781703201451,-0.247294749742495,-0.183026591779488,-0.251304512171681,-0.163096934798376,-0.312640937729907,-0.00266508614893824,-0.386537037375276,-0.171288711422958,-0.194340609348865,-0.0917589597801123,-0.0975972262829022,-0.0876207879210007,-0.272072633940178,-0.141570742937552,-0.236442855247203,-0.115986038884594,-0.0635044786119344,-0.0219341940899999,-0.230183706047704,-0.307634714009282,-0.105281622266219,-0.143109607170186,-0.0916013271184667,-0.0648823453456442,-0.166406148726907,-0.280759558756167,-0.0948836973585985,-0.154139457994304,-0.176562437887624,-0.195546687619882,-0.225801693627316,-0.239186314982141,-0.125433030376624,-0.235333642182002,-0.215147689341144,-0.339307096094195,-0.333231443970467,-0.266752780349245,-0.210392674122144,-0.228076492676311,-0.210194304079452,-0.260007611671016,-0.281746313907554,-0.191295148665459,-0.260857533224387,-0.270439225446103,-0.282926329174518,-0.234167891608383,-0.190663332511661,-0.299673049782474,-0.20190664618553,-0.222296294926738,-0.285962216112461,-0.223564261975709,-0.240941550793099,-0.0860318877772195,-0.219933155469631,-0.243283355243075,-0.188142639393987,-0.145014801555549,-0.162946257306015,-0.154557247976736,-0.228853001862548,-0.25359988187481,-0.131941343830743,-0.294826120831405,-0.176336150323425,-0.272191160584981,-0.112914161110202,-0.220403022294261,-0.214899226277614,-0.108584506619288,-0.107544955699774,-0.193826262146251,-0.137612577330363,-0.212275455204634,-0.179002685329059,-0.139259895995618,-0.245310826934626,-0.183935226491241,-0.294888773537143,-0.190184520636567,-0.256000339392507,-0.184306126755719,-0.267432498729243,-0.176717057357539,-0.173405036141592,-0.144316415545972,-0.164208937459066,-0.251821279603958,-0.27203186549877,-0.194610705691665,-0.278960147574817,-0.179466493208137,-0.278746067402563,-0.268757519904701,-0.1213382271864,-0.209946672143205,-0.182538653018962,-0.205957000607086,-0.190490653418323,-0.164331694334219,-0.25816577082607,-0.114145087995026,-0.174597383482428
"Activated CD4 T cell",0.13864839867166,-0.0263335089986453,0.0251747010064545,0.0504169328456831,0.111294396310776,0.0752411268492753,0.0862469247166606,0.101886219595505,0.130066557998962,0.181872867890484,0.080474172041812,0.0791306864828965,0.102137042758536,0.088829756565944,0.0303767628419339,0.0586611524568869,0.0430495890505528,0.0557276095354731,0.092993418963402,0.033446817231995,-0.0302085637727276,-0.0307876352882894,0.030208539944553,0.00386592129817455,0.052279808655802,0.056423415742651,0.100294618244908,-0.00592305377685473,0.0453038203634177,0.0893484407279588,0.163112996440526,0.0692884291328347,0.106879734458716,0.0411665625135721,-0.0512410696819679,0.109791227768297,0.152045554831556,0.0858991718169499,0.137859519416872,0.168970964040874,0.0747730308946998,0.204907403515338,0.192647624826129,0.150568420856094,0.162510273221154,0.103357122285845,0.262155400659811,0.234046429615292,0.226450022327379,0.171622467361441,0.159139707579374,0.18641424029028,0.275458394527143,0.192623596267362,0.180576877234359,0.128046800607597,0.119527151266105,0.277517407354626,0.145705714957077,0.244313282818984,0.111091318009358,0.116249757636515,0.122413872287916,0.142341987791791,0.164307234508723,0.0771849839193654,0.167398752187955,0.0792652230098618,0.120976362520249,0.122061375593951,0.0690872197765988,0.128203461063434,0.192310296508733,0.170104013713713,0.151099925339367,0.0531388039192478,0.00988494951709971,0.206064077045218,0.16140952716588,0.139034670409672,0.0316337508884442,0.188335859623637,0.141177480482738,0.118787569910579,0.100952778240155,0.0973415696691384,-0.00586916501925309,0.110491728358379,0.100674267914097,0.167914850422943,0.166423929886995,0.107935236946073,0.166071953634068,0.0503154194499882,0.0842215025805693,0.10484795217739,0.160756504457364,0.10765213413048,0.134217490968014,0.182745886720728,0.195780192107431,0.106569414674279,0.166930975540205,0.192938337560745,0.136355356942417,0.154482183130767,0.194429700952081,0.187700520347501,0.263226124747786,0.176395594890181,0.16147711450997,0.147174720575041,0.149844478575632,0.193054378504765,0.138688429231643,0.204588072115351,0.228930294658336,0.12413850268669,0.24105929596569,0.142610134237556,0.13314533069148,0.127141595173843,0.103159980763848,0.192579497732215,0.157873278722011,0.1857974955637,0.0456321780661232,0.247894776180018,0.0912968307941464,0.233058514304901,0.169294898639486,0.140925635025909,0.221920835437577,0.187551971667222,0.0507375203658186,0.16452710435373,0.135434572580244,0.215189139369113,0.189620209985715,0.16773233327211,0.190310741355406
"Activated CD8 T cell",0.16077209534626,0.125416523607536,0.141807925889688,0.139447590330874,0.254251371312336,0.187138141809025,0.136098348383448,0.152454368838086,0.162799030401175,0.214567938776529,0.176203094063952,0.165125922261736,0.207941316124847,0.180488055877274,0.169222766353926,0.170132809463036,0.186561724153548,0.118760458421464,0.18961639492125,0.158835165487001,0.196441074359249,0.179429453777476,0.1866431921987,0.180206716296382,0.141318387592347,0.141256868413007,0.180447834210904,0.194263006551122,0.153266909040572,0.131160105292008,0.154401495725328,0.137005236105699,0.224212488762526,0.169604603028966,0.103447308715715,0.1694226615082,0.177877544942748,0.131031036846571,0.112370702344861,0.18629530162107,0.134643394432723,0.218022665625992,0.194803768400968,0.186863406243618,0.244615833734358,0.193832597923842,0.16350222074512,0.198976081617085,0.211172167985132,0.151291894322159,0.206457637555853,0.215580724948394,0.208362162794727,0.181695840923082,0.19339779180848,0.239580954000679,0.226819289907504,0.170292708526431,0.219316027722445,0.23237394628274,0.211535173779815,0.159977822401764,0.19364616949431,0.1112210047994,0.181782920734762,0.137752816088013,0.194195120004631,0.0911035127206067,0.159739792763133,0.169077490188571,0.152960928140063,0.172142594752182,0.183069829478822,0.182639540116146,0.150674205358935,0.189846365267954,0.159893114755644,0.170900124021069,0.176370340538348,0.161394277733843,0.174554518293242,0.151747647626832,0.272943134714649,0.18858347143831,0.212030398292355,0.186004823254174,0.156480508701787,0.131996779502404,0.136809644657481,0.174450672660084,0.133663116501057,0.193639802136665,0.189180897068496,0.174524677388425,0.171449976489027,0.11804009361244,0.183995731821171,0.130309680962072,0.162889232506638,0.181617677080256,0.219145174894843,0.141334778693841,0.19330679426563,0.190679017929324,0.151694555022008,0.152963714841319,0.153498369896096,0.222709285959207,0.13797170860902,0.184322918523263,0.115129206003915,0.195903914918424,0.215242180834337,0.174649958199774,0.22361694019491,0.220013357425204,0.202323531666702,0.136911177795177,0.300548132163323,0.23494766715228,0.157595198590779,0.165033466274366,0.172934924865141,0.134143048990763,0.195670171561474,0.230013307886343,0.116313400526845,0.272782191628698,0.191421032424826,0.179234151281522,0.169947873018739,0.225601643876293,0.243425663879443,0.127423646541207,0.131151123227827,0.190011461066827,0.181950787641743,0.219726926132877,0.243859548449945,0.144349659381155,0.143708333402889
"Activated dendritic cell",0.239087954366038,0.272374836988354,0.241222952023606,0.29198449156991,0.289039180750353,0.270600809596027,0.268055486271973,0.28656836482847,0.255038221750039,0.28505891112306,0.281538147536593,0.26780127123304,0.260599248922414,0.267993800736468,0.272451368753049,0.271055949124912,0.286872413209876,0.259046788996168,0.262133098908832,0.248824557694606,0.241879263564364,0.250550617898017,0.228522692141447,0.248422489325647,0.280248005521017,0.241407356057144,0.307144160851499,0.295143945649543,0.250485439295947,0.271061197358412,0.238840279138829,0.267776533634497,0.250171955211617,0.263092398776335,0.211174970158894,0.274884500434595,0.280044573702102,0.251494416448412,0.24124398442143,0.300199591033161,0.266718975016108,0.280713655065095,0.339680342937431,0.275315046295992,0.331695918937289,0.252781428926587,0.337916022214439,0.353739003508397,0.317736568938817,0.313012385499807,0.285751725912663,0.301460041259963,0.30861845796565,0.30810995748585,0.307895174251185,0.313763751222157,0.272548856076437,0.344171450519484,0.289648151224089,0.305589670076715,0.31012988727343,0.344112540821897,0.249898085485447,0.275279299735546,0.283195946386778,0.278830219230813,0.27427601560913,0.27844172213283,0.283484833210234,0.277546164678654,0.262516316768475,0.287709833045288,0.259686699715481,0.278518166944767,0.281842649079573,0.28113172492537,0.274242654513719,0.286321835450568,0.27408029382178,0.256512323715584,0.244886241750694,0.258478503727809,0.278666230527982,0.285897839134362,0.275415813161992,0.30000397952918,0.272782582315245,0.290061017673631,0.27144214664414,0.25692231963388,0.251997457169487,0.297763154689739,0.250725499275654,0.259410086132413,0.284053110727188,0.323468134766924,0.257931564060003,0.282092674996339,0.302445404594579,0.276596777822251,0.309583048081738,0.296484162925599,0.271350432565288,0.304905900463345,0.280103117093,0.272019734098022,0.275820357183674,0.256810571940532,0.277564608318479,0.283827165885995,0.289172948537605,0.262725753006408,0.269333357494664,0.269630654976888,0.279761043181972,0.260686833249087,0.349705678917144,0.249895957455382,0.270909043593324,0.25325280551032,0.274854153100329,0.296939916999607,0.252099577587945,0.245146533832361,0.281231471138656,0.279004597469414,0.267213472306471,0.272667598520618,0.272174581347373,0.222191476716095,0.262358732840099,0.285837094561726,0.320657024670883,0.307229663785499,0.257397576103632,0.286474238535905,0.30261259123028,0.270700324827185,0.310035709699069,0.286625086829126,0.314391329493782
"CD56bright natural killer cell",0.276627220815303,0.260795859563509,0.218251945060287,0.266692895164437,0.307861594315261,0.283036163604946,0.228750943929982,0.289023001659419,0.246629641232969,0.298968440733545,0.268916770954778,0.285784223356803,0.315274277035918,0.218880811619596,0.279251564284753,0.209311956216794,0.271658923016257,0.240348581627384,0.286102568708282,0.238554373644582,0.264924068862269,0.238639542641719,0.297530598767345,0.249178090838285,0.279903116989558,0.275043459323771,0.311111079732075,0.288458548126105,0.28223163733796,0.28199703162207,0.259997777466447,0.242198313082143,0.29986963651698,0.255960187573326,0.311748894310047,0.264573664026435,0.263034007695768,0.299160154082351,0.296456128799065,0.247524857616844,0.301887858716434,0.283984873184431,0.293148939943856,0.258678466779505,0.302811242288629,0.279642065868483,0.310962749556386,0.278738089620418,0.321090620269692,0.310519008419578,0.273515141549913,0.343303860318135,0.306409463631299,0.311181942697436,0.284917336040606,0.357095646656863,0.289869222176815,0.325727683064915,0.285222850011724,0.298225721583657,0.236778033331245,0.303644708556533,0.271558927539372,0.262716539408296,0.298768163027925,0.265645417090784,0.284957885964434,0.273719649115221,0.289180193418118,0.304904671028778,0.295495365024003,0.285635372353685,0.30111893797904,0.288431618996538,0.290457710665103,0.315279824049504,0.279660301208459,0.310193302776858,0.292269230389255,0.317858769679467,0.303732965868169,0.281246714262989,0.282497879849724,0.347262507072099,0.282784142757405,0.28216002353827,0.280917044569443,0.306261829668593,0.312681609738514,0.261812009465961,0.293645660042294,0.268924096770649,0.329133189342182,0.338269673651145,0.282728829757416,0.342522196147193,0.298823388300512,0.248323771358181,0.28804734191713,0.30018688419701,0.304994974415911,0.298985997631737,0.290706791329964,0.282399760239798,0.260894438074269,0.307429951888786,0.322319307274218,0.293773193075712,0.281259094959159,0.344215155399437,0.298686422343465,0.273861171456466,0.313265116349277,0.293769615037509,0.314556544418985,0.327827687702258,0.328510906565998,0.325927964646971,0.345386539571901,0.32013334594521,0.331902761944948,0.290923890661819,0.29362482995815,0.32261954994164,0.279658289179571,0.326232178796386,0.289371579844155,0.310023441822412,0.323881309682478,0.326411011869424,0.300669643864899,0.299957891740956,0.261190395527389,0.272201128917539,0.305432832301104,0.33262901788087,0.310867921936387,0.281602595594513,0.314704695164714,0.305346385155858,0.333616573938923
"CD56dim natural killer cell",0.20906748907208,0.213980346758787,0.211396783918551,0.200725140793519,0.230869241789187,0.200865195082354,0.22828878262974,0.236292310986227,0.228974893756145,0.204186459607405,0.221963317266633,0.204610194779232,0.227618004727018,0.212860919509126,0.225765702465102,0.229505214694456,0.232203285404169,0.253131194569763,0.209684514907153,0.214623338693027,0.252688696147291,0.244183288909134,0.219571265285264,0.230731998819787,0.197174414027192,0.214826161026692,0.188622498995864,0.195448357781323,0.221322726520572,0.188508335116317,0.235774669058661,0.201677138327598,0.219125252753914,0.228684766983018,0.217797587519895,0.205182389728641,0.189977966890569,0.203335580938496,0.211607732049086,0.197905233985874,0.255682749110492,0.192508047766754,0.223083009209135,0.231342727260564,0.196068034077837,0.172544562699085,0.23661480690016,0.195412231891418,0.222336201904017,0.201791674929254,0.209680882589654,0.206388959885809,0.191059415862799,0.195323113459855,0.203453440158859,0.237382837938978,0.195433285811167,0.219274198184057,0.220614821957257,0.193683133252769,0.190562945356269,0.21345845256567,0.192421994491689,0.184621835383961,0.237692589195701,0.20482256553371,0.209643121560941,0.200583089939207,0.159129101185606,0.191187214340725,0.198734206161522,0.186946455338111,0.201052484537094,0.157439609401667,0.198388602590986,0.189379338530608,0.223142535963437,0.182638431195103,0.16854845098977,0.196959443417067,0.244980396004692,0.186010667096966,0.194762671755536,0.203225244474735,0.172127662580563,0.199704860229526,0.213788841680086,0.199686809642683,0.212641997812988,0.228874559735094,0.163754138359623,0.203269136017127,0.229239265111069,0.193978614937003,0.190100916662244,0.234183325716176,0.172334444453512,0.200570586276862,0.224238390028276,0.184021367029162,0.179831432906371,0.218888277682826,0.192583005715024,0.218932298986743,0.239142707092224,0.180227018349218,0.186219903902103,0.151594130962556,0.141357390040064,0.226299773246426,0.224048434193898,0.227947278864378,0.173167853729581,0.179501833546844,0.152453114933191,0.152011235719607,0.208254517412255,0.208069996289952,0.159406188416552,0.150697306496472,0.202061484043392,0.18202910492801,0.273186767363724,0.19793979872561,0.210173876163027,0.2012908917432,0.203907788540018,0.172395315160119,0.208732857149459,0.151037080780199,0.222024916640638,0.224075037000585,0.169320302897899,0.194558872528876,0.235086759681661,0.227130195126295,0.190359677072203,0.183867032571502,0.159197718783484,0.250656034603298,0.185226524082398
"Central memory CD4 T cell",0.400211117351115,0.437532380925301,0.419225506872281,0.417051310100725,0.44809070654517,0.45724000264075,0.447034749154833,0.477571607766447,0.456972607273523,0.462147974174782,0.437209196434254,0.430454522958854,0.427932877198852,0.446046339290897,0.438636670097832,0.427815125913342,0.423276110000396,0.453889030147127,0.434629583838655,0.428118014846764,0.441029058583497,0.435270667832046,0.444643969302619,0.455625773151244,0.447867501915899,0.40996628324045,0.434111789776651,0.461660972462882,0.434632149389316,0.394217229262468,0.408603934220431,0.444289530223833,0.426104108807804,0.436887387791476,0.448283758187044,0.437234304379005,0.435918918882,0.441255514352135,0.428307268421712,0.433041263007795,0.441410728338563,0.433987871650567,0.467740931975168,0.438083673012225,0.473972662531987,0.434919038390026,0.443604123657122,0.470822999095704,0.429359811327342,0.440575486638931,0.46407986067155,0.431918897323367,0.463057193525203,0.446429121712797,0.461992547429373,0.439999454031018,0.43332345089789,0.462872873131415,0.458070009908291,0.45822667487601,0.444709306267496,0.453787808904442,0.422743739143061,0.43911392166932,0.46154389427678,0.448569881351714,0.421778308895819,0.445320377403487,0.438068704112626,0.457272185756594,0.434877417893745,0.455782852146199,0.415235211811424,0.417231528037985,0.424905948836181,0.447724541114458,0.43581408024093,0.409349289778767,0.471097874164466,0.431141898184271,0.39800194711504,0.402239804757607,0.43229786972902,0.430002292097922,0.435118575185807,0.453362487077554,0.42215978212219,0.43761094427857,0.424116555610579,0.402483284594571,0.430330954634155,0.442545271575786,0.436920040560585,0.459762333087273,0.448085604291073,0.482402725380219,0.421154636957239,0.4334202174192,0.45950799899311,0.433302491641494,0.452764790291451,0.418736463430765,0.422282426010184,0.441175155306578,0.405106400554213,0.433528270071854,0.417766927350073,0.413375627237308,0.415080473460543,0.415149063692779,0.455479598114562,0.453809950219441,0.424281980503263,0.451495942214677,0.425365371920178,0.445142500828941,0.44428966416178,0.454291574150423,0.41444237791765,0.419643423346192,0.418793653400701,0.440043440176462,0.431440062116295,0.424044922185215,0.436026528681797,0.419592179705772,0.448020983281163,0.432865721786832,0.437140419604413,0.403895654940933,0.423970570921123,0.429921931297365,0.422537353613443,0.435511355908933,0.430779744140549,0.428377067022209,0.439328460659983,0.446988228373339,0.427993369334598,0.447217949751546,0.412418893598605
"Central memory CD8 T cell",0.169387869206886,0.225850444799769,0.228499604178347,0.215684895598839,0.254534666582446,0.218693477432279,0.23410035995438,0.263861666725444,0.213326261062468,0.217048290973732,0.231781534658813,0.248299578531998,0.224795597732835,0.224921251963221,0.216598741676229,0.178207772505697,0.218412930945715,0.171348054022745,0.234985554696121,0.199017114591138,0.202632060335058,0.205623155134838,0.230635886685367,0.208985064793915,0.219915958066677,0.228281468714551,0.225172273036288,0.292886274420281,0.221158319953639,0.236927332767433,0.202124775340106,0.228492506489992,0.23963147140361,0.23550583884937,0.221556163842793,0.235135488222554,0.236430389607701,0.243435416421125,0.235785231687929,0.240754825815883,0.236582966474203,0.22949176074378,0.238380454199942,0.253248428093362,0.214115171329996,0.216435933860324,0.214089400349438,0.235895624074625,0.269576183190259,0.233588938787716,0.252973652602403,0.260231471514055,0.188645953677343,0.229997748724559,0.246841730290842,0.246873133255982,0.214403475489932,0.293070252847745,0.277433339098514,0.256057086696973,0.242354937346879,0.262282656012293,0.198533169903064,0.221345552134997,0.206249729916089,0.227017342497131,0.257106817100045,0.208199864100747,0.213209987480221,0.213679196789495,0.205048499050235,0.24444581104494,0.239485491170363,0.273967704017917,0.204950457405685,0.244771677091114,0.264260922533769,0.229277496649188,0.241224898035048,0.196230304500447,0.268256270409933,0.286162129264806,0.242298686504754,0.202566262506782,0.251662880597915,0.216688792845397,0.244070059219957,0.245133826674833,0.269822955876836,0.246263584440039,0.201809223896513,0.240896018492266,0.199726799557977,0.217106940539318,0.299861208474972,0.257790664497474,0.209948238592631,0.211668481078669,0.252275221809103,0.223436055920406,0.229266237111792,0.231553592732757,0.216814924077982,0.217657797341477,0.171957192859463,0.205999336563267,0.211336942424448,0.241705705976578,0.248412782808433,0.243924477742462,0.185536131308145,0.19750628511317,0.210732566252553,0.223914625569095,0.208066694103884,0.221826042525446,0.272127567765445,0.188384421447203,0.234638199758008,0.210965070345816,0.177296043319742,0.224799832146365,0.215497800807898,0.174603796534523,0.20591183683088,0.225608781733545,0.196475519970087,0.182973544520445,0.253097319560697,0.210649722609953,0.17708298748812,0.229206188599411,0.203848380411299,0.269881593752973,0.262187303600729,0.236771924834214,0.219091939464211,0.223012964686171,0.183558609966438,0.227549590070586,0.272071343109552
"Effector memeory CD4 T cell",0.0487347465060384,-0.018380706056945,0.0183514530567742,0.0201161387154728,0.0159033680739238,0.0108865917472399,0.00331331803126917,-0.0298229194837699,-0.0277709591503106,-0.0148467381870192,-0.016295505911108,0.00173248914049304,0.0224094275289207,-0.0210857344955285,-0.0076656554523125,-0.00969078190658543,0.0380172944531101,-0.0290206312702644,-0.00752784863545173,0.00539801212036833,-0.0216716234485459,-0.0149779446634888,0.00828502649381802,0.00186052736707179,-0.0151602316588432,-0.00621019123406715,-0.00440745179436479,0.00607571780859366,-0.014002144202827,0.0245119345377304,0.00897249856264389,0.0590223861782737,0.0187464577154592,-0.00138027963732028,0.0103276754926933,-0.00505045759754269,0.0375766182698438,0.0220626725184759,0.0573971772778254,-0.01236345814496,-0.033048343269947,0.00723606553937179,0.00673418753366033,0.00463729867434644,0.00171577453602866,0.027463404679769,0.0398358766317455,0.0399718586995495,-0.000137595128259321,0.00334945405283175,-0.0357199808591235,0.0229382216614916,0.0361235712692715,0.0294478173419328,0.00977626083475235,-0.0179250866539717,0.00659756397355717,0.0268832880592753,0.00268431013444778,-0.00339955759836554,0.0125759099367558,0.0126936284716772,-0.0133895929253223,0.00209676267426964,0.0135758377484929,0.00521234450908514,0.0166193406258728,0.0346985209877846,0.000974152637984288,0.0546228717061351,0.00225833491694856,-0.0183432923110126,0.00314181263135029,0.00569118124401152,-0.0325119675410762,0.000459116751731114,-0.0213938153307507,0.0222113031999293,-0.0334480883705764,-0.00521850717225147,-0.00447341905817038,-0.00776023563061789,-0.00330886795570014,0.0586289269756665,-0.00779186640827729,-0.0373079811990822,-0.0225894326933703,-0.00163510291118278,-0.0376435887710846,0.0175817683901059,0.0747008979332132,0.00270201192569972,-0.0316179920158916,-0.00613195701439279,0.00798505173389321,0.00314815137369599,0.0219183087342796,-0.0240036971270464,0.0128025752523656,-0.0238405540793612,0.0105113492666541,0.00836356877580065,0.00303882471672072,-0.00926770613368546,-0.0284902818144023,0.0242441222860287,0.0285162279066391,-0.00386678275763772,0.0282297989412874,0.0495791667692225,0.0369032106700732,0.0414233670623744,0.00986072991099519,0.042318498773018,0.0310368203990291,-0.00438695512615737,0.0577313186183434,0.0655967972932755,-0.022966570279177,0.0465760057181513,0.00201450345833372,0.0172205179472917,0.0305200179128793,0.0379008567676328,0.0363601394447746,0.0392153911352007,0.0331084823788702,0.038848660799006,0.0451397525877435,-0.00176230854315471,0.0088242412934894,0.0441528995078717,0.0124092544238285,0.0221016020879095,-0.00337082225143134,0.0299719764554055,0.0437798687733551,-0.0147806246739191,0.0339764292092147,0.0331385826547517,0.064986424990719
"Effector memeory CD8 T cell",0.230177116135055,0.24648460601588,0.280371038284181,0.260820036675364,0.28169206910404,0.264407092327689,0.25423523006742,0.290272867448432,0.220159337781483,0.305259058104807,0.265771722181844,0.251852550448815,0.254148270555776,0.273924182117946,0.264398582585292,0.268683167698524,0.250803762829661,0.226931480053824,0.249216357242426,0.239258086761179,0.22919298319442,0.272467595125611,0.235055341432715,0.255561319581064,0.240727925225364,0.256267918725975,0.270765571978862,0.274132164780443,0.24358039408479,0.234963197392547,0.205388097745374,0.258876347876123,0.249318116820718,0.271212473581217,0.199155159591213,0.260627841104842,0.268229709435489,0.224328423080443,0.228017005485083,0.270952724962775,0.222156519471198,0.295361908646693,0.252100248713492,0.214388125485055,0.324267385005106,0.234526130143097,0.25666390697506,0.274246716749125,0.288426145496145,0.28809947370214,0.267485311782537,0.277880434292901,0.217324932985186,0.26724289908171,0.273063520856724,0.307875912390182,0.297330218951851,0.308968452149058,0.291073900561396,0.271629006754641,0.273526376890828,0.318239011842362,0.290271410590599,0.26085509542039,0.233121720515251,0.259445656956568,0.248886510092732,0.243725301118419,0.228532730398989,0.27214119300796,0.256751356596001,0.259257088107358,0.279716761438432,0.224018082842897,0.261289191505741,0.215319272282843,0.246015278749376,0.266932104474201,0.23605740202689,0.245213326778743,0.263940509091674,0.289738437492575,0.269619108643599,0.26002226675472,0.260325872695213,0.281183167012944,0.240755237196641,0.257338750855693,0.23849819686874,0.170217762985136,0.251335073113549,0.241386438641156,0.220077220338854,0.255003244164588,0.298076731907142,0.286777398126256,0.273866249815181,0.269934128274951,0.251990329221948,0.205434607153849,0.300907689288174,0.221989847166282,0.227391481370948,0.244098530198598,0.234399443887634,0.254263910100038,0.252848586770486,0.247338583431614,0.229729402213324,0.225214613237397,0.242418639941829,0.262566952641713,0.266312809369652,0.249597764540626,0.266123605729119,0.298305815900183,0.268417326997643,0.260790448971642,0.242638327203003,0.269386521512463,0.235708744020571,0.23468439945929,0.270139259741485,0.200364336930092,0.206818169253387,0.238288421331586,0.20269863622194,0.257356411325001,0.231446112220937,0.208813231175037,0.223418524133285,0.25434874726349,0.264865198085359,0.245030106782846,0.238445490354592,0.243127411707611,0.254923455340308,0.259913920409802,0.253165374074883,0.255710857808823,0.221102340898554
