"","ME9","ME5","ME12","ME2","ME4","ME6","ME11","ME10","ME1","ME13","ME7","ME3","ME8","ME0"
"A1CF",0.294756443569813,0.262098704835965,0.2554247590305,0.479282627596641,0.477330605992093,0.0156682683937042,-0.272168041417188,-0.412355026376008,-0.538008253438094,-0.333572899990634,-0.330786659736138,-0.27162599938535,-0.391270294167878,0.563979699761889
"A2M",0.162646715921463,0.0618180431439309,0.212223420913273,0.409106696610823,0.234661039970106,0.140975803010572,-0.271655464043202,-0.272398672435893,-0.333371964866937,-0.198237969201127,-0.0645833822730841,-0.166596257837416,-0.120103802479061,0.311162889020405
"A4GALT",0.104886342434894,-0.085170980110043,-0.125360985255251,-0.178699246865156,-0.238952860659641,0.0860167568774426,-0.0253598509814959,-0.00889749747017024,0.127896427260848,0.13762735074485,0.105136983702339,0.218193905214314,0.125041888586738,-0.0691899051627164
"A4GNT",0.153657062348369,0.493076775244595,0.253918559363872,0.441448188129555,0.431537773736652,-0.155232264568336,-0.270960098617189,-0.318752423753671,-0.501566831782449,-0.345708378872651,-0.340251589838415,-0.376823560902952,-0.439996378847228,0.482003845062124
"AAAS",-0.0735027916859718,-0.0835837190900298,-0.152652968113141,-0.292935628143033,-0.270483159934415,0.0794011831692248,0.276950282284842,0.226375453995734,0.392482511880938,0.396532743699094,0.327272694264826,0.137275223733531,0.253813971484271,-0.384156551526084
"AACS",0.0657053021220372,-0.00691815516541247,0.124520639228324,0.159294890731485,0.325713837971975,-0.0650820845786941,-0.185097937339572,-0.120101932689302,-0.300573300217747,-0.236279044127376,-0.201117529833939,-0.130318890482762,-0.235703396044268,0.302802638823915
"AADAC",0.0467019850260468,0.0987875422787968,0.0573756638740645,0.154818086713096,0.0763049837532673,-0.203359745117797,0.0298485878156904,0.0297454485558796,-0.0974197310480088,-0.025723441022705,-0.0752911049331547,-0.145725843249935,-0.0447945743458869,0.0832609076526006
"AAGAB",-0.192656734111241,0.0370745140052468,-0.149730557651207,-0.369842788319237,-0.306570280529696,0.075338882979518,0.194435060987631,0.224383384971353,0.376488953709251,0.315992293893407,0.202344596532493,0.17554516361433,0.197182288079703,-0.362635866443382
"AAK1",-0.0139436722897606,-0.0327325647289721,-0.135193054948433,-0.394978586380125,-0.429182051064218,0.144741662641747,0.224263024202475,0.183694101384166,0.447966105514442,0.264943156941881,0.298407457303698,0.397740819827608,0.348006969668027,-0.36135526272111
"AAMDC",0.253414475057419,0.16176888061335,0.163397243154063,0.419639299322103,0.451706708315085,0.011073324688714,0.00336164160742131,-0.287089660134473,-0.491490817150534,-0.289801140713529,-0.236931030138386,-0.22717070252272,-0.29657042234112,0.465130558957477
"AAMP",0.000245898571506699,-0.031471591792836,-0.171656016320446,-0.163260691925825,-0.103966379529462,-0.0236231021737504,0.133455022287596,0.0719058388358676,0.135885835724205,0.200696347203177,0.141430307827883,0.209219556576591,0.146006657986904,-0.122580761887088
"AANAT",0.270673901856764,0.206357240759132,0.0682143385552927,0.193590459609907,0.184910530907036,0.0752928397176514,-0.228639117375501,-0.344381094828724,-0.362589240086966,-0.283227116794629,-0.144926474100524,-0.0889338576396896,-0.229811444091915,0.418159848134786
"AAR2",-0.317341757867171,-0.156758015076822,-0.150048915613992,-0.418729957910034,-0.454851834342341,0.13642737213181,0.281765435977142,0.219263296142596,0.575180912178044,0.433930036994197,0.308880054612876,0.316787683142314,0.408202811104087,-0.514220214984198
