,gene,module,color
A1CF,A1CF,1,turquoise
A2M,A2M,0,grey
A4GALT,A4GALT,0,grey
A4GNT,A4GNT,1,turquoise
AAAS,AAAS,0,grey
AACS,AACS,0,grey
AADAC,AADAC,0,grey
AAGAB,AAGAB,0,grey
AAK1,AAK1,1,turquoise
AAMDC,AAMDC,1,turquoise
AAMP,AAMP,0,grey
AANAT,AANAT,0,grey
AAR2,AAR2,1,turquoise
AARS,AARS,1,turquoise
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,AARSD1 /// PTGES3L /// PTGES3L-AARSD1,1,turquoise
AASDHPPT,AASDHPPT,0,grey
AASS,AASS,0,grey
AATF,AATF,1,turquoise
AATK,AATK,0,grey
ABAT,ABAT,1,turquoise
ABCA1,ABCA1,1,turquoise
ABCA11P,ABCA11P,0,grey
ABCA12,ABCA12,2,blue
ABCA2,ABCA2,0,grey
ABCA3,ABCA3,0,grey
ABCA4,ABCA4,0,grey
ABCA5,ABCA5,1,turquoise
ABCA6,ABCA6,2,blue
ABCA7,ABCA7,0,grey
ABCA8,ABCA8,1,turquoise
ABCB1,ABCB1,2,blue
ABCB1 /// ABCB4,ABCB1 /// ABCB4,2,blue
ABCB11,ABCB11,0,grey
ABCB4,ABCB4,0,grey
ABCB6,ABCB6,0,grey
ABCB7,ABCB7,0,grey
ABCB8,ABCB8,0,grey
ABCB8 /// ASIC3,ABCB8 /// ASIC3,0,grey
ABCB9,ABCB9,0,grey
ABCC1,ABCC1,1,turquoise
ABCC10,ABCC10,0,grey
ABCC2,ABCC2,0,grey
ABCC3,ABCC3,0,grey
ABCC4,ABCC4,1,turquoise
ABCC5,ABCC5,1,turquoise
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,0,grey
ABCC6 /// LOC101930322,ABCC6 /// LOC101930322,0,grey
ABCC8,ABCC8,0,grey
ABCC9,ABCC9,0,grey
ABCD1,ABCD1,0,grey
ABCD1P2 /// ABCD1P2,ABCD1P2 /// ABCD1P2,0,grey
ABCD2,ABCD2,0,grey
ABCD3,ABCD3,1,turquoise
ABCD4,ABCD4,0,grey
ABCE1,ABCE1,1,turquoise
ABCF1,ABCF1,1,turquoise
ABCF2,ABCF2,1,turquoise
ABCF3,ABCF3,1,turquoise
ABCG1,ABCG1,1,turquoise
ABCG2,ABCG2,0,grey
ABCG4,ABCG4,1,turquoise
ABCG5,ABCG5,1,turquoise
ABHD10,ABHD10,1,turquoise
ABHD11,ABHD11,0,grey
ABHD14A-ACY1 /// ACY1,ABHD14A-ACY1 /// ACY1,0,grey
ABHD14A /// ACY1,ABHD14A /// ACY1,0,grey
